Point Name,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
Description,GROSS LOAD,TURB BRG 1 VIB 1,TURB BRG 1 VIB 2,TURB BRG 1 RAD VIB X,TURB BRG 1 RAD VIB Y,TURB BRG 2 VIB 1,TURB BRG 2 VIB 2,TURB BRG 2 RAD VIB X,TURB BRG 2 RAD VIB Y,TURB AXIAL POS 1,TURB AXIAL POS 2,TURB BRG 1 TEMP 1,TURB BRG 2 TEMP 1,THRUST BRG ACT TEMP 1,THRUST BRG INACT TEMP 1,LO SUPPLY TEMP 1
Extended Name,,,,,,,,,,,,,,,,
Extended Description,,,,,,,,,,,,,,,,
Units,MW,IN/S,IN/S,MILS,MILS,IN/S,IN/S,MILS,MILS,MILS,MILS,DEGF,DEGF,DEGF,DEGF,DEGF
7/26/2019 3:59,0.090026855,0.003480911,0.00359416,0.124740601,0.126457214,0.001889467,0.001740456,0.097465515,0.070953369,-23.70257378,-25.37336349,107.8629074,106.3884201,92.67116547,92.25907135,90.92346191
7/26/2019 4:59,0.08102417,0.003641844,0.003582239,0.096797943,0.084209442,0.002110004,0.002026558,0.09393692,0.077056885,-23.84710312,-25.24008751,107.0246048,105.6162033,91.8225708,91.34295654,90.09502411
7/26/2019 5:59,0.075469971,0.003731251,0.003826618,0.106525421,0.069904327,0.002449751,0.002259016,0.065231323,0.059700012,-23.79236221,-25.35974884,106.7026367,105.4432297,91.49650574,90.92810059,89.65261841
7/26/2019 6:59,0.08001709,0.003457069,0.003618002,0.152492523,0.120830536,0.002157688,0.001883507,0.083637238,0.201892853,-23.78096581,-25.42786598,107.4465714,105.7372894,92.32355499,92.09119415,89.99730682
7/26/2019 7:59,0.085998535,0.003314018,0.00320673,0.115966797,0.124073029,0.001907349,0.001841784,0.08764267,0.06275177,-23.76663589,-25.52890778,106.9293442,105.2848969,91.80005646,91.05055237,89.82029724
7/26/2019 8:59,0.081298828,0.003486872,0.003474951,0.083255768,0.102615356,0.002062321,0.001859665,0.096416473,0.099372864,-24.0281105,-25.49488449,105.6526031,103.9331207,90.21170044,89.78237915,88.17140198
7/26/2019 9:59,0.089111328,0.003480911,0.003415346,0.081443787,0.070285797,0.002020597,0.002115965,0.099849701,0.072383881,-24.07488823,-25.37574768,105.9602203,104.2532578,90.59732056,89.97240448,88.29070282
7/26/2019 10:59,0.094085693,0.003314018,0.003480911,0.111579895,0.099563599,0.002259016,0.002092123,0.081920624,0.097846985,-23.90303612,-25.44856071,106.0317154,104.6016541,90.59592438,90.10804749,88.8631897
7/26/2019 11:59,0.082733154,0.003641844,0.003600121,0.100708008,0.099658966,0.002288818,0.001776218,0.091743469,0.108146667,-23.97871017,-25.60842133,105.4915771,104.1596985,90.1229248,89.72566986,88.18275452
7/26/2019 12:59,0.09866333,0.003480911,0.003653765,0.082111359,0.10099411,0.002282858,0.002270937,0.121688843,0.061321259,-23.99716377,-25.54965019,106.6680603,105.356781,91.31381989,90.86025238,89.12432098
7/26/2019 13:59,0.088439941,0.003379583,0.0033319,0.106143951,0.088214874,0.001913309,0.001740456,0.11138916,0.072193146,-23.90851974,-25.51376724,107.0486526,105.9783325,91.84683228,91.56739044,89.6499176
7/26/2019 14:59,0.081298828,0.00320673,0.00320673,0.083065033,0.089931488,0.001901388,0.001853704,0.096797943,0.072669983,-24.18336868,-25.42378998,107.8227234,106.6158066,92.55654907,91.84716034,90.69500732
7/26/2019 15:59,0.088806152,0.003522635,0.003421307,0.120830536,0.10175705,0.001865625,0.001692772,0.117015839,0.075626373,-24.22263718,-25.37705994,107.6430893,106.7647552,92.4484787,92.11723328,89.91151428
7/26/2019 16:59,0.100250244,0.003194809,0.003314018,0.091648102,0.076198578,0.001776218,0.001770258,0.107383728,0.079441071,-24.21340942,-25.33311844,107.9046478,106.932991,92.63977051,92.1594696,90.79870605
7/26/2019 17:59,0.093078613,0.003498793,0.003582239,0.134468079,0.116157532,0.002110004,0.001972914,0.125789642,0.06313324,-24.19981956,-25.24957657,107.3937149,106.2953796,92.26988983,91.75777435,90.15067291
