Point Name,DEMO.SIM.II100,DEMO.SIM.TI101,DEMO.SIM.TI102,DEMO.SIM.XI101X,DEMO.SIM.XI101Y,DEMO.SIM.XI102X,DEMO.SIM.XI102Y
Description,MOTOR CURRENT,NDE BRNG TEMP,DE DRNG TEMP,REL VIB NDE X,REL VIB NDE Y,REL VIB DE X,REL VIB DE Y
Extended Name,,,,,,,
Extended Description,,,,,,,
Units,A,C,C,um,um,um,um
01/05/2017 02:00,470.1955276,60.9993782,53.9997673,11.5462558,11.01853444,11.81962514,16.79678571
01/05/2017 03:00,473.0616769,60.9993782,53.9997673,11.48006435,10.97961167,11.78672481,16.42558931
01/05/2017 04:00,466.1774334,60.9993782,53.9997673,11.35361345,10.92299074,11.73958396,16.11925244
01/05/2017 05:00,465.4498222,60.9993782,53.9997673,11.24297313,10.84128881,11.34328769,15.90804902
01/05/2017 06:00,470.2878855,60.9993782,53.9997673,11.24487845,10.74192794,11.34941501,16.21419022
01/05/2017 07:00,470.6093186,60.9993782,53.9997673,11.20772702,10.80153621,11.44073829,16.21952739
01/05/2017 08:00,472.5201852,60.9993782,53.9997673,11.24646381,10.70732565,11.26079756,16.12959845
01/05/2017 09:00,473.4784497,60.9993782,53.9997673,11.19135859,10.74841514,11.30762475,15.98831743
01/05/2017 10:00,469.993515,60.9993782,53.9997673,11.23471393,10.75239243,11.13960311,15.91048099
01/05/2017 11:00,469.3633536,60.9993782,53.9997673,11.23527267,10.77753469,11.1582675,16.10451888
01/05/2017 12:00,471.3199202,60.9993782,53.9997673,11.3745146,10.83109263,11.26910874,16.16915529
01/05/2017 13:00,469.9991482,60.9993782,53.9997673,11.25963584,10.88459191,11.31261881,16.3066757
01/05/2017 14:00,471.087298,61.13238859,53.9997673,11.4649657,10.97107299,11.28005701,16.0748982
01/05/2017 15:00,468.0441856,60.99938202,53.9997673,11.44046265,10.99743033,11.4618799,16.13356941
01/05/2017 16:00,470.8730541,60.99938202,53.9997673,11.45894017,11.08060848,11.35442714,16.25244784
01/05/2017 17:00,471.2874305,60.99938202,53.9997673,11.38602921,11.11091713,11.37428006,16.25503517
01/05/2017 18:00,472.4300406,60.99938202,53.9997673,11.43012868,11.08326014,11.51853763,16.16601843
01/05/2017 19:00,468.9731447,60.99938202,53.9997673,11.38248293,11.02929778,11.35146294,16.24775126
01/05/2017 20:00,479.8992422,60.99938202,53.9997673,11.52414993,11.03345863,11.3670822,16.33121631
01/05/2017 21:00,478.6592818,60.99938202,53.9997673,11.52077182,11.06227275,11.56164215,16.24363807
01/05/2017 22:00,477.6484604,60.99938202,53.9997673,11.61357876,11.09745308,11.36001727,16.16972706
01/05/2017 23:00,480.4084742,60.99938202,53.9997673,11.607486,11.07407269,11.33605619,16.15171324
01/06/2017 00:00,483.1434545,60.99938202,53.9997673,11.5846638,11.0671009,11.39891166,16.23395531
01/06/2017 01:00,476.8069276,60.99938202,53.9997673,11.62245817,11.11823822,11.56446877,16.09537945
01/06/2017 02:00,473.1001707,60.99938202,53.9997673,11.55648343,10.9988713,11.39075443,16.12069471
01/06/2017 03:00,472.9878131,60.99938202,53.9997673,11.61747129,11.11209896,11.33471317,16.2460981
01/06/2017 04:00,471.7780578,60.99938202,53.9997673,11.57603577,11.01771932,11.32616109,16.2861869
